,title,isbn,booktype,author,rating,ratingCount,reviewCount,year,genres
35,Brave New World,9780060929879,books.book,https://www.goodreads.com/author/show/3487.Aldous_Huxley,3.98,1274506,25668,1932,classics|fiction|science-fiction|science-fiction|dystopia
36,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",null,books.book,https://www.goodreads.com/author/show/4.Douglas_Adams,4.22,1243513,26088,1979,science-fiction|fiction|humor|fantasy|classics
37,One Hundred Years of Solitude,9780060531041,books.book,https://www.goodreads.com/author/show/13450.Gabriel_Garc_a_M_rquez,4.06,666638,26459,1967,fiction|classics|magical-realism|literature
38,The Princess Bride,9780345418265,books.book,https://www.goodreads.com/author/show/12521.William_Goldman,4.26,715227,18325,1973,fantasy|fiction|classics|romance|humor|young-adult
39,The Catcher in the Rye,9780316769174,books.book,https://www.goodreads.com/author/show/819789.J_D_Salinger,3.80,2448996,52111,1951,classics|fiction|young-adult|literature
40,The Secret Garden,9780517189603,books.book,https://www.goodreads.com/author/show/2041.Frances_Hodgson_Burnett,4.13,798645,16014,1911,classics|fiction|childrens|young-adult
41,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",9780439554930,books.book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,4.47,6019500,96734,1997,fantasy|young-adult|fiction|fantasy|magic|childrens|adventure|classics|childrens|middle-grade|audiobook|science-fiction-fantasy
42,A Thousand Splendid Suns,9781594489501,books.book,https://www.goodreads.com/author/show/569.Khaled_Hosseini,4.36,1015222,49486,2007,fiction|historical|historical-fiction
43,"A Wrinkle in Time (Time Quintet, #1)",9780440498056,books.book,https://www.goodreads.com/author/show/106.Madeleine_L_Engle,4.01,921247,31743,1962,fantasy|fiction|young-adult|classics|science-fiction|childrens
44,Fahrenheit 451,9780307347978,books.book,https://www.goodreads.com/author/show/1630.Ray_Bradbury,3.98,1434649,41019,1953,classics|fiction|science-fiction|science-fiction|dystopia|literature|academic|school|novels|fantasy|science-fiction-fantasy|adult
45,"The Lightning Thief (Percy Jackson and the Olympians, #1)",9780786838653,books.book,https://www.goodreads.com/author/show/15872.Rick_Riordan,4.24,1721103,53674,2005,fantasy|young-adult|fantasy|mythology|fiction
46,"A Game of Thrones (A Song of Ice and Fire, #1)",9780553588484,books.book,https://www.goodreads.com/author/show/346732.George_R_R_Martin,4.45,1778110,51686,1996,fantasy|fiction
47,The Adventures of Huckleberry Finn,9780142437179,books.book,https://www.goodreads.com/author/show/1244.Mark_Twain,3.81,1084213,14322,1884,classics|fiction|historical|historical-fiction|literature|young-adult|adventure|academic|school|novels|academic|read-for-school|literature|american
48,The Lovely Bones,9780316166683,books.book,https://www.goodreads.com/author/show/316.Alice_Sebold,3.80,1847359,39075,2002,fiction|mystery|young-adult|contemporary|fantasy
49,Where the Wild Things Are,9780099408390,books.book,https://www.goodreads.com/author/show/4489.Maurice_Sendak,4.22,735041,10942,1963,childrens|childrens|picture-books|classics|fiction
50,Green Eggs and Ham,9780394800165,books.book,https://www.goodreads.com/author/show/61105.Dr_Seuss,4.30,547946,8615,1960,childrens|childrens|picture-books|classics|fiction|poetry|fantasy|humor|kids|food-and-drink|food|young-adult
51,The Outsiders,null,books.book,https://www.goodreads.com/author/show/762707.S_E_Hinton,4.08,815629,29476,1967,classics|young-adult|fiction|academic|school
52,Life of Pi,9780770430078,books.book,https://www.goodreads.com/author/show/811.Yann_Martel,3.90,1204096,45606,2001,fiction|fantasy|classics|adventure
53,A Tale of Two Cities,9780141439600,books.book,https://www.goodreads.com/author/show/239579.Charles_Dickens,3.83,749789,15523,1859,classics|fiction|historical|historical-fiction|literature
